electricity_unit,electricity_value,country,type,state,estimated_at,carbon_g,carbon_lb,carbon_kg,carbon_mt
kwh,1.0,at,electricity,,2024-02-23T14:38:32.430Z,83,0.18,0.08,0.0
kwh,1.0,be,electricity,,2024-02-23T14:38:34.877Z,192,0.42,0.19,0.0
kwh,1.0,bg,electricity,,2024-02-23T14:38:35.703Z,352,0.78,0.35,0.0
kwh,1.0,hr,electricity,,2024-02-23T14:38:36.657Z,164,0.36,0.16,0.0
kwh,1.0,cy,electricity,,2024-02-23T14:38:37.331Z,653,1.44,0.65,0.0
kwh,1.0,cz,electricity,,2024-02-23T14:38:37.925Z,386,0.85,0.39,0.0
kwh,1.0,dk,electricity,,2024-02-23T14:38:38.644Z,116,0.26,0.12,0.0
kwh,1.0,ee,electricity,,2024-02-23T14:38:39.265Z,669,1.47,0.67,0.0
kwh,1.0,fi,electricity,,2024-02-23T14:38:39.892Z,67,0.15,0.07,0.0
kwh,1.0,fr,electricity,,2024-02-23T14:38:40.693Z,55,0.12,0.06,0.0
kwh,1.0,de,electricity,,2024-02-23T14:38:41.444Z,301,0.66,0.3,0.0
kwh,2.0,at,electricity,,2024-02-23T14:38:42.782Z,166,0.37,0.17,0.0
kwh,2.0,be,electricity,,2024-02-23T14:38:43.237Z,384,0.85,0.38,0.0
kwh,2.0,bg,electricity,,2024-02-23T14:38:43.937Z,704,1.55,0.7,0.0
kwh,2.0,hr,electricity,,2024-02-23T14:38:44.675Z,328,0.72,0.33,0.0
kwh,2.0,cy,electricity,,2024-02-23T14:38:45.522Z,1306,2.88,1.31,0.0
kwh,2.0,cz,electricity,,2024-02-23T14:38:46.254Z,772,1.7,0.77,0.0
kwh,2.0,dk,electricity,,2024-02-23T14:38:46.998Z,232,0.51,0.23,0.0
kwh,2.0,ee,electricity,,2024-02-23T14:38:48.123Z,1338,2.95,1.34,0.0
kwh,2.0,fi,electricity,,2024-02-23T14:38:50.017Z,134,0.3,0.13,0.0
kwh,2.0,fr,electricity,,2024-02-23T14:38:50.761Z,110,0.24,0.11,0.0
kwh,2.0,de,electricity,,2024-02-23T14:38:51.488Z,602,1.33,0.6,0.0
kwh,3.0,at,electricity,,2024-02-23T14:38:53.147Z,249,0.55,0.25,0.0
kwh,3.0,be,electricity,,2024-02-23T14:38:53.824Z,576,1.27,0.58,0.0
kwh,3.0,bg,electricity,,2024-02-23T14:38:54.560Z,1056,2.33,1.06,0.0
kwh,3.0,hr,electricity,,2024-02-23T14:38:55.436Z,492,1.08,0.49,0.0
kwh,3.0,cy,electricity,,2024-02-23T14:38:56.171Z,1959,4.32,1.96,0.0
kwh,3.0,cz,electricity,,2024-02-23T14:38:56.898Z,1158,2.55,1.16,0.0
kwh,3.0,dk,electricity,,2024-02-23T14:38:57.570Z,348,0.77,0.35,0.0
kwh,3.0,ee,electricity,,2024-02-23T14:39:00.055Z,2007,4.42,2.01,0.0
kwh,3.0,fi,electricity,,2024-02-23T14:39:00.708Z,201,0.44,0.2,0.0
kwh,3.0,fr,electricity,,2024-02-23T14:39:01.451Z,165,0.36,0.17,0.0
kwh,3.0,de,electricity,,2024-02-23T14:39:02.138Z,903,1.99,0.9,0.0
kwh,4.0,at,electricity,,2024-02-23T14:39:03.790Z,332,0.73,0.33,0.0
kwh,4.0,be,electricity,,2024-02-23T14:39:04.537Z,768,1.69,0.77,0.0
kwh,4.0,bg,electricity,,2024-02-23T14:39:05.251Z,1408,3.1,1.41,0.0
kwh,4.0,hr,electricity,,2024-02-23T14:39:06.083Z,656,1.45,0.66,0.0
kwh,4.0,cy,electricity,,2024-02-23T14:39:06.819Z,2612,5.76,2.61,0.0
kwh,4.0,cz,electricity,,2024-02-23T14:39:08.776Z,1544,3.4,1.54,0.0
kwh,4.0,dk,electricity,,2024-02-23T14:39:09.641Z,464,1.02,0.46,0.0
kwh,4.0,ee,electricity,,2024-02-23T14:39:10.297Z,2676,5.9,2.68,0.0
kwh,4.0,fi,electricity,,2024-02-23T14:39:10.993Z,268,0.59,0.27,0.0
kwh,4.0,fr,electricity,,2024-02-23T14:39:11.747Z,220,0.49,0.22,0.0
kwh,4.0,de,electricity,,2024-02-23T14:39:12.554Z,1204,2.65,1.2,0.0
kwh,5.0,at,electricity,,2024-02-23T14:39:15.498Z,415,0.91,0.42,0.0
kwh,5.0,be,electricity,,2024-02-23T14:39:15.991Z,960,2.12,0.96,0.0
kwh,5.0,bg,electricity,,2024-02-23T14:39:16.687Z,1760,3.88,1.76,0.0
kwh,5.0,hr,electricity,,2024-02-23T14:39:17.539Z,820,1.81,0.82,0.0
kwh,5.0,cy,electricity,,2024-02-23T14:39:18.261Z,3265,7.2,3.27,0.0
kwh,5.0,cz,electricity,,2024-02-23T14:39:19.083Z,1930,4.25,1.93,0.0
kwh,5.0,dk,electricity,,2024-02-23T14:39:19.747Z,580,1.28,0.58,0.0
kwh,5.0,ee,electricity,,2024-02-23T14:39:20.540Z,3345,7.37,3.35,0.0
kwh,5.0,fi,electricity,,2024-02-23T14:39:21.431Z,335,0.74,0.34,0.0
kwh,5.0,fr,electricity,,2024-02-23T14:39:22.160Z,275,0.61,0.28,0.0
kwh,5.0,de,electricity,,2024-02-23T14:39:24.850Z,1505,3.32,1.51,0.0
