index,electricity_unit,electricity_value,country abbreviation,type,estimated_at,carbon_g,carbon_lb,carbon_kg,carbon_mt,country,trees required,trees required in units
0,kwh,1,at,electricity,2024-02-23T14:38:32.430Z,83,0.18,0.08,0,Austria,0.004,1
1,kwh,1,be,electricity,2024-02-23T14:38:34.877Z,192,0.42,0.19,0,Belgium,0.009,1
2,kwh,1,bg,electricity,2024-02-23T14:38:35.703Z,352,0.78,0.35,0,Bulgaria,0.016,1
3,kwh,1,hr,electricity,2024-02-23T14:38:36.657Z,164,0.36,0.16,0,Croatia,0.007,1
4,kwh,1,cy,electricity,2024-02-23T14:38:37.331Z,653,1.44,0.65,0,Cyprus,0.030,1
5,kwh,1,cz,electricity,2024-02-23T14:38:37.925Z,386,0.85,0.39,0,Czech Republic,0.018,1
6,kwh,1,dk,electricity,2024-02-23T14:38:38.644Z,116,0.26,0.12,0,Denmark,0.005,1
7,kwh,1,ee,electricity,2024-02-23T14:38:39.265Z,669,1.47,0.67,0,Estonia,0.030,1
8,kwh,1,fi,electricity,2024-02-23T14:38:39.892Z,67,0.15,0.07,0,Finland,0.003,1
9,kwh,1,fr,electricity,2024-02-23T14:38:40.693Z,55,0.12,0.06,0,France,0.003,1
10,kwh,1,de,electricity,2024-02-23T14:38:41.444Z,301,0.66,0.3,0,Germany,0.014,1
11,kwh,2,at,electricity,2024-02-23T14:38:42.782Z,166,0.37,0.17,0,Austria,0.008,1
12,kwh,2,be,electricity,2024-02-23T14:38:43.237Z,384,0.85,0.38,0,Belgium,0.017,1
13,kwh,2,bg,electricity,2024-02-23T14:38:43.937Z,704,1.55,0.7,0,Bulgaria,0.032,1
14,kwh,2,hr,electricity,2024-02-23T14:38:44.675Z,328,0.72,0.33,0,Croatia,0.015,1
15,kwh,2,cy,electricity,2024-02-23T14:38:45.522Z,1306,2.88,1.31,0,Cyprus,0.060,1
16,kwh,2,cz,electricity,2024-02-23T14:38:46.254Z,772,1.7,0.77,0,Czech Republic,0.035,1
17,kwh,2,dk,electricity,2024-02-23T14:38:46.998Z,232,0.51,0.23,0,Denmark,0.010,1
18,kwh,2,ee,electricity,2024-02-23T14:38:48.123Z,1338,2.95,1.34,0,Estonia,0.061,1
19,kwh,2,fi,electricity,2024-02-23T14:38:50.017Z,134,0.3,0.13,0,Finland,0.006,1
20,kwh,2,fr,electricity,2024-02-23T14:38:50.761Z,110,0.24,0.11,0,France,0.005,1
21,kwh,2,de,electricity,2024-02-23T14:38:51.488Z,602,1.33,0.6,0,Germany,0.027,1
22,kwh,3,at,electricity,2024-02-23T14:38:53.147Z,249,0.55,0.25,0,Austria,0.011,1
23,kwh,3,be,electricity,2024-02-23T14:38:53.824Z,576,1.27,0.58,0,Belgium,0.026,1
24,kwh,3,bg,electricity,2024-02-23T14:38:54.560Z,1056,2.33,1.06,0,Bulgaria,0.048,1
25,kwh,3,hr,electricity,2024-02-23T14:38:55.436Z,492,1.08,0.49,0,Croatia,0.022,1
