electricity_unit,electricity_value,country,type,state,estimated_at,carbon_g,carbon_lb,carbon_kg,carbon_mt
kwh,1.0,ie,electricity,,2024-02-23T15:45:15.142Z,293,0.65,0.29,0.0
kwh,1.0,lv,electricity,,2024-02-23T15:45:15.921Z,92,0.2,0.09,0.0
kwh,1.0,lt,electricity,,2024-02-23T15:45:16.906Z,146,0.32,0.15,0.0
kwh,1.0,lu,electricity,,2024-02-23T15:45:17.965Z,69,0.15,0.07,0.0
kwh,1.0,mt,electricity,,2024-02-23T15:45:18.979Z,356,0.78,0.36,0.0
kwh,1.0,pl,electricity,,2024-02-23T15:45:19.801Z,724,1.6,0.72,0.0
kwh,1.0,ro,electricity,,2024-02-23T15:45:20.538Z,208,0.46,0.21,0.0
kwh,1.0,sk,electricity,,2024-02-23T15:45:21.279Z,90,0.2,0.09,0.0
kwh,2.0,ie,electricity,,2024-02-23T15:45:22.873Z,586,1.29,0.59,0.0
kwh,2.0,lv,electricity,,2024-02-23T15:45:23.634Z,184,0.41,0.18,0.0
kwh,2.0,lt,electricity,,2024-02-23T15:45:24.304Z,292,0.64,0.29,0.0
kwh,2.0,lu,electricity,,2024-02-23T15:45:25.243Z,138,0.3,0.14,0.0
kwh,2.0,mt,electricity,,2024-02-23T15:45:26.004Z,712,1.57,0.71,0.0
kwh,2.0,pl,electricity,,2024-02-23T15:45:26.858Z,1448,3.19,1.45,0.0
kwh,2.0,ro,electricity,,2024-02-23T15:45:27.678Z,416,0.92,0.42,0.0
kwh,2.0,sk,electricity,,2024-02-23T15:45:28.399Z,180,0.4,0.18,0.0
kwh,3.0,ie,electricity,,2024-02-23T15:45:30.031Z,879,1.94,0.88,0.0
kwh,3.0,lv,electricity,,2024-02-23T15:45:30.837Z,276,0.61,0.28,0.0
kwh,3.0,lt,electricity,,2024-02-23T15:45:31.768Z,438,0.97,0.44,0.0
kwh,3.0,lu,electricity,,2024-02-23T15:45:32.421Z,207,0.46,0.21,0.0
kwh,3.0,mt,electricity,,2024-02-23T15:45:33.043Z,1068,2.35,1.07,0.0
kwh,3.0,pl,electricity,,2024-02-23T15:45:33.807Z,2172,4.79,2.17,0.0
kwh,3.0,ro,electricity,,2024-02-23T15:45:34.577Z,624,1.38,0.62,0.0
kwh,3.0,sk,electricity,,2024-02-23T15:45:35.313Z,270,0.6,0.27,0.0
kwh,4.0,ie,electricity,,2024-02-23T15:45:36.930Z,1172,2.58,1.17,0.0
kwh,4.0,lv,electricity,,2024-02-23T15:45:37.627Z,368,0.81,0.37,0.0
kwh,4.0,lt,electricity,,2024-02-23T15:45:38.353Z,584,1.29,0.58,0.0
kwh,4.0,lu,electricity,,2024-02-23T15:45:39.118Z,276,0.61,0.28,0.0
kwh,4.0,mt,electricity,,2024-02-23T15:45:39.927Z,1424,3.14,1.42,0.0
kwh,4.0,pl,electricity,,2024-02-23T15:45:40.689Z,2896,6.38,2.9,0.0
kwh,4.0,ro,electricity,,2024-02-23T15:45:41.441Z,832,1.83,0.83,0.0
kwh,4.0,sk,electricity,,2024-02-23T15:45:42.328Z,360,0.79,0.36,0.0
kwh,5.0,ie,electricity,,2024-02-23T15:45:44.481Z,1465,3.23,1.47,0.0
kwh,5.0,lv,electricity,,2024-02-23T15:45:45.025Z,460,1.01,0.46,0.0
kwh,5.0,lt,electricity,,2024-02-23T15:45:45.789Z,730,1.61,0.73,0.0
kwh,5.0,lu,electricity,,2024-02-23T15:45:46.598Z,345,0.76,0.35,0.0
kwh,5.0,mt,electricity,,2024-02-23T15:45:47.406Z,1780,3.92,1.78,0.0
kwh,5.0,pl,electricity,,2024-02-23T15:45:48.186Z,3620,7.98,3.62,0.0
kwh,5.0,ro,electricity,,2024-02-23T15:45:48.919Z,1040,2.29,1.04,0.0
kwh,5.0,sk,electricity,,2024-02-23T15:45:49.639Z,450,0.99,0.45,0.0
