electricity_unit,electricity_value,country,type,state,estimated_at,carbon_g,carbon_lb,carbon_kg,carbon_mt
kwh,1.0,pt,electricity,,2024-02-03T19:03:19.518Z,201,0.44,0.2,0.0
kwh,1.0,it,electricity,,2024-02-03T19:03:20.355Z,212,0.47,0.21,0.0
kwh,1.0,nl,electricity,,2024-02-03T19:03:20.913Z,318,0.7,0.32,0.0
kwh,1.0,es,electricity,,2024-02-03T19:03:21.746Z,190,0.42,0.19,0.0
kwh,2.0,pt,electricity,,2024-02-03T19:03:22.955Z,402,0.89,0.4,0.0
kwh,2.0,it,electricity,,2024-02-03T19:03:23.548Z,424,0.93,0.42,0.0
kwh,2.0,nl,electricity,,2024-02-03T19:03:24.362Z,636,1.4,0.64,0.0
kwh,2.0,es,electricity,,2024-02-03T19:03:25.138Z,380,0.84,0.38,0.0
kwh,3.0,pt,electricity,,2024-02-03T19:03:26.554Z,603,1.33,0.6,0.0
kwh,3.0,it,electricity,,2024-02-03T19:03:27.101Z,636,1.4,0.64,0.0
kwh,3.0,nl,electricity,,2024-02-03T19:03:27.656Z,954,2.1,0.95,0.0
kwh,3.0,es,electricity,,2024-02-03T19:03:28.412Z,570,1.26,0.57,0.0
kwh,4.0,pt,electricity,,2024-02-03T19:03:29.861Z,804,1.77,0.8,0.0
kwh,4.0,it,electricity,,2024-02-03T19:03:30.686Z,848,1.87,0.85,0.0
kwh,4.0,nl,electricity,,2024-02-03T19:03:31.373Z,1272,2.8,1.27,0.0
kwh,4.0,es,electricity,,2024-02-03T19:03:31.953Z,760,1.68,0.76,0.0
kwh,5.0,pt,electricity,,2024-02-03T19:03:33.307Z,1005,2.22,1.01,0.0
kwh,5.0,it,electricity,,2024-02-03T19:03:33.908Z,1060,2.34,1.06,0.0
kwh,5.0,nl,electricity,,2024-02-03T19:03:34.722Z,1590,3.51,1.59,0.0
kwh,5.0,es,electricity,,2024-02-03T19:03:35.421Z,950,2.09,0.95,0.0
